time,region,service,event,principal,itype,access_key,src_ip,error,detail,user_agent,errmsg,event_id
2026-03-14T02:15:45Z,ap-southeast-1,cloudtrail,DescribeTrails,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: DescribeTrails,11111111-0000-4000-8000-000000000035
2026-03-14T02:15:47Z,ap-southeast-1,ses,GetSendQuota,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,203.0.113.10,AccessDenied,,Go-http-client/1.1,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: GetSendQuota,11111111-0000-4000-8000-000000000036
2026-03-14T07:16:24Z,us-east-1,bedrock,ListFoundationModels,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000037
2026-03-14T07:17:01Z,us-east-1,bedrock,GetFoundationModelAvailability,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000038
2026-03-14T07:17:38Z,us-east-1,bedrock,PutUseCaseForModelAccess,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000039
2026-03-14T07:18:15Z,us-east-1,bedrock,GetModelInvocationLoggingConfiguration,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000040
2026-03-14T07:18:26Z,us-west-2,bedrock,InvokeModel,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,ValidationException,model=anthropic.claude-3-5-sonnet-20240620-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: InvokeModel,11111111-0000-4000-8000-000000000041
2026-03-14T07:18:37Z,us-east-1,bedrock,InvokeModel,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,model=anthropic.claude-3-haiku-20240307-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000042
2026-03-14T07:18:48Z,us-east-1,bedrock,InvokeModel,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,model=anthropic.claude-3-5-sonnet-20240620-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000043
2026-03-14T07:18:59Z,us-west-2,bedrock,InvokeModel,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,model=anthropic.claude-3-haiku-20240307-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000044
2026-03-14T07:19:10Z,us-east-1,bedrock,InvokeModel,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,model=anthropic.claude-3-5-sonnet-20240620-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000045
2026-03-14T07:19:21Z,us-east-1,bedrock,InvokeModel,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,ValidationException,model=anthropic.claude-3-haiku-20240307-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: InvokeModel,11111111-0000-4000-8000-000000000046
2026-03-14T07:19:32Z,us-west-2,bedrock,InvokeModel,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,model=anthropic.claude-3-5-sonnet-20240620-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000047
2026-03-14T07:19:43Z,us-east-1,bedrock,InvokeModel,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,model=anthropic.claude-3-haiku-20240307-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000048
2026-03-14T07:19:54Z,us-east-1,bedrock,InvokeModel,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,model=anthropic.claude-3-5-sonnet-20240620-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000049
2026-03-14T07:20:05Z,us-west-2,bedrock,InvokeModel,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,model=anthropic.claude-3-haiku-20240307-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000050
2026-03-14T07:20:16Z,us-east-1,bedrock,InvokeModel,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,ValidationException,model=anthropic.claude-3-5-sonnet-20240620-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: InvokeModel,11111111-0000-4000-8000-000000000051
2026-03-14T07:20:27Z,us-east-1,bedrock,InvokeModel,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,model=anthropic.claude-3-haiku-20240307-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000052
2026-03-14T07:20:38Z,us-west-2,bedrock,InvokeModel,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,model=anthropic.claude-3-5-sonnet-20240620-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000053
2026-03-14T07:20:49Z,us-east-1,bedrock,InvokeModel,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,model=anthropic.claude-3-haiku-20240307-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000054
2026-03-14T07:21:00Z,us-east-1,bedrock,InvokeModel,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,model=anthropic.claude-3-5-sonnet-20240620-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000055
2026-03-14T07:21:11Z,us-west-2,bedrock,InvokeModel,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,ValidationException,model=anthropic.claude-3-haiku-20240307-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: InvokeModel,11111111-0000-4000-8000-000000000056
2026-03-14T07:21:22Z,us-east-1,bedrock,InvokeModel,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,model=anthropic.claude-3-5-sonnet-20240620-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000057
2026-03-14T07:21:33Z,us-east-1,bedrock,InvokeModel,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,model=anthropic.claude-3-haiku-20240307-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000058
2026-03-14T07:21:42Z,us-east-1,bedrock,InvokeModelWithResponseStream,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,model=anthropic.claude-3-5-sonnet-20240620-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000059
2026-03-14T07:21:51Z,us-east-1,bedrock,InvokeModelWithResponseStream,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,model=anthropic.claude-3-5-sonnet-20240620-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000060
2026-03-14T07:22:00Z,us-east-1,bedrock,InvokeModelWithResponseStream,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,model=anthropic.claude-3-5-sonnet-20240620-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000061
2026-03-14T07:22:09Z,us-east-1,bedrock,InvokeModelWithResponseStream,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,model=anthropic.claude-3-5-sonnet-20240620-v1:0,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000062
2026-03-14T08:02:46Z,us-east-1,iam,CreateUser,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,user=support-svc,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000063
2026-03-14T08:03:23Z,us-east-1,iam,AttachUserPolicy,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,user=support-svc policy=AdministratorAccess,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000064
2026-03-14T08:04:00Z,us-east-1,iam,CreateAccessKey,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,,user=support-svc newkey=AKIAI44QH8DHBEXAMPLE,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,,11111111-0000-4000-8000-000000000065
2026-03-14T08:04:37Z,us-east-1,cloudtrail,StopLogging,ci-deploy,IAMUser,AKIAIOSFODNN7EXAMPLE,198.51.100.23,AccessDenied,,aws-sdk-go-v2/1.30.3 os/linux lang/go#1.22.5,User: arn:aws:iam::111122223333:user/ci-deploy is not authorized to perform: StopLogging,11111111-0000-4000-8000-000000000066
2026-03-14T10:05:14Z,eu-west-1,servicequotas,GetServiceQuota,support-svc,IAMUser,AKIAI44QH8DHBEXAMPLE,198.51.100.77,,,Boto3/1.34.100 md/Botocore#1.34.100 ua/2.0 os/linux,,11111111-0000-4000-8000-000000000067
2026-03-14T10:05:51Z,eu-west-1,servicequotas,RequestServiceQuotaIncrease,support-svc,IAMUser,AKIAI44QH8DHBEXAMPLE,198.51.100.77,,,Boto3/1.34.100 md/Botocore#1.34.100 ua/2.0 os/linux,,11111111-0000-4000-8000-000000000068
2026-03-14T10:06:28Z,eu-west-1,ec2,AuthorizeSecurityGroupIngress,support-svc,IAMUser,AKIAI44QH8DHBEXAMPLE,198.51.100.77,,CIDR=ANY sg=sg-0example,Boto3/1.34.100 md/Botocore#1.34.100 ua/2.0 os/linux,,11111111-0000-4000-8000-000000000069
2026-03-14T10:07:05Z,eu-west-1,ec2,RunInstances,support-svc,IAMUser,AKIAI44QH8DHBEXAMPLE,198.51.100.77,,type=g5.12xlarge maxCount=8 minCount=1 launched=8,Boto3/1.34.100 md/Botocore#1.34.100 ua/2.0 os/linux,,11111111-0000-4000-8000-000000000070
2026-03-14T10:07:42Z,ap-southeast-1,servicequotas,GetServiceQuota,support-svc,IAMUser,AKIAI44QH8DHBEXAMPLE,198.51.100.77,,,Boto3/1.34.100 md/Botocore#1.34.100 ua/2.0 os/linux,,11111111-0000-4000-8000-000000000071
2026-03-14T10:08:19Z,ap-southeast-1,servicequotas,RequestServiceQuotaIncrease,support-svc,IAMUser,AKIAI44QH8DHBEXAMPLE,198.51.100.77,,,Boto3/1.34.100 md/Botocore#1.34.100 ua/2.0 os/linux,,11111111-0000-4000-8000-000000000072
2026-03-14T10:08:56Z,ap-southeast-1,ec2,AuthorizeSecurityGroupIngress,support-svc,IAMUser,AKIAI44QH8DHBEXAMPLE,198.51.100.77,,CIDR=ANY sg=sg-0example,Boto3/1.34.100 md/Botocore#1.34.100 ua/2.0 os/linux,,11111111-0000-4000-8000-000000000073
2026-03-14T10:09:33Z,ap-southeast-1,ec2,RunInstances,support-svc,IAMUser,AKIAI44QH8DHBEXAMPLE,198.51.100.77,,type=g5.12xlarge maxCount=8 minCount=1 launched=8,Boto3/1.34.100 md/Botocore#1.34.100 ua/2.0 os/linux,,11111111-0000-4000-8000-000000000074
2026-03-14T10:10:10Z,us-west-2,servicequotas,GetServiceQuota,support-svc,IAMUser,AKIAI44QH8DHBEXAMPLE,198.51.100.77,,,Boto3/1.34.100 md/Botocore#1.34.100 ua/2.0 os/linux,,11111111-0000-4000-8000-000000000075
2026-03-14T10:10:47Z,us-west-2,servicequotas,RequestServiceQuotaIncrease,support-svc,IAMUser,AKIAI44QH8DHBEXAMPLE,198.51.100.77,,,Boto3/1.34.100 md/Botocore#1.34.100 ua/2.0 os/linux,,11111111-0000-4000-8000-000000000076
2026-03-14T10:11:24Z,us-west-2,ec2,AuthorizeSecurityGroupIngress,support-svc,IAMUser,AKIAI44QH8DHBEXAMPLE,198.51.100.77,,CIDR=ANY sg=sg-0example,Boto3/1.34.100 md/Botocore#1.34.100 ua/2.0 os/linux,,11111111-0000-4000-8000-000000000077
2026-03-14T10:12:01Z,us-west-2,ec2,RunInstances,support-svc,IAMUser,AKIAI44QH8DHBEXAMPLE,198.51.100.77,,type=g5.12xlarge maxCount=8 minCount=1 launched=8,Boto3/1.34.100 md/Botocore#1.34.100 ua/2.0 os/linux,,11111111-0000-4000-8000-000000000078
2026-03-14T10:12:38Z,us-east-1,ses,VerifyEmailIdentity,support-svc,IAMUser,AKIAI44QH8DHBEXAMPLE,198.51.100.77,,billing@example.com,Boto3/1.34.100 md/Botocore#1.34.100 ua/2.0 os/linux,,11111111-0000-4000-8000-000000000079
2026-03-14T10:13:15Z,us-east-1,ses,SendEmail,support-svc,IAMUser,AKIAI44QH8DHBEXAMPLE,198.51.100.77,MessageRejected,billing@example.com,Boto3/1.34.100 md/Botocore#1.34.100 ua/2.0 os/linux,User: arn:aws:iam::111122223333:user/support-svc is not authorized to perform: SendEmail,11111111-0000-4000-8000-000000000080
2026-03-14T10:13:52Z,us-east-1,signin,ConsoleLogin,support-svc,IAMUser,-,192.0.2.55,Failed authentication,result=Failure mfa=No,Mozilla/5.0 (Windows NT 10.0; Win64; x64),User: arn:aws:iam::111122223333:user/support-svc is not authorized to perform: ConsoleLogin,11111111-0000-4000-8000-000000000081
